K02221	CAG0001 CAG0002 CAG0003 CAG0004 CAG0005 CAG0006 CAG0007 CAG0009 CAG0011 CAG0012 CAG0013 CAG0018 CAG0021 CAG0022 CAG0024 CAG0025 CAG0027 CAG0028 CAG0029 CAG0032 CAG0033 CAG0034 CAG0035 CAG0038 CAG0040 CAG0045 CAG0046 CAG0050 CAG0055 CAG0057 CAG0058 CAG0061 CAG0065 CAG0068 CAG0072 CAG0082 CAG0088 CAG0092 
K08303	CAG0001 CAG0002 CAG0003 CAG0004 CAG0005 CAG0006 CAG0009 CAG0011 CAG0012 CAG0014 CAG0015 CAG0018 CAG0021 CAG0023 CAG0025 CAG0028 CAG0031 CAG0033 CAG0036 CAG0037 CAG0038 CAG0044 CAG0048 CAG0049 CAG0050 CAG0053 CAG0056 CAG0063 CAG0064 CAG0071 CAG0073 CAG0076 CAG0078 CAG0081 CAG0089 CAG0091 CAG0097 CAG0104 CAG0107 
K01657	CAG0001 CAG0002 CAG0003 CAG0004 CAG0005 CAG0006 CAG0007 CAG0008 CAG0011 CAG0013 CAG0015 CAG0016 CAG0018 CAG0020 CAG0021 CAG0022 CAG0025 CAG0029 CAG0030 CAG0031 CAG0032 CAG0033 CAG0034 CAG0037 CAG0040 CAG0044 CAG0045 CAG0046 CAG0048 CAG0049 CAG0050 CAG0054 CAG0055 CAG0056 CAG0057 CAG0061 CAG0064 CAG0066 CAG0068 CAG0069 CAG0070 CAG0073 CAG0075 CAG0079 CAG0080 CAG0081 CAG0086 CAG0101 
K19972	CAG0001 CAG0073 CAG0089 
K01533	CAG0001 CAG0002 CAG0003 CAG0004 CAG0005 CAG0006 CAG0007 CAG0008 CAG0009 CAG0011 CAG0012 CAG0013 CAG0014 CAG0015 CAG0016 CAG0018 CAG0019 CAG0020 CAG0021 CAG0022 CAG0024 CAG0025 CAG0027 CAG0028 CAG0029 CAG0032 CAG0035 CAG0036 CAG0037 CAG0038 CAG0040 CAG0043 CAG0045 CAG0048 CAG0050 CAG0051 CAG0053 CAG0055 CAG0057 CAG0061 CAG0063 CAG0064 CAG0065 CAG0066 CAG0071 CAG0072 CAG0078 CAG0080 CAG0083 CAG0085 CAG0089 CAG0095 CAG0102 CAG0104 
K03074	CAG0001 CAG0002 CAG0003 CAG0004 CAG0005 CAG0007 CAG0009 CAG0011 CAG0012 CAG0013 CAG0014 CAG0015 CAG0019 CAG0021 CAG0022 CAG0025 CAG0027 CAG0028 CAG0029 CAG0032 CAG0034 CAG0035 CAG0037 CAG0038 CAG0040 CAG0048 CAG0050 CAG0058 CAG0059 CAG0063 CAG0064 CAG0066 CAG0069 CAG0070 CAG0074 CAG0080 CAG0081 CAG0089 
K01937	CAG0001 CAG0002 CAG0003 CAG0004 CAG0005 CAG0006 CAG0007 CAG0008 CAG0009 CAG0010 CAG0011 CAG0012 CAG0013 CAG0014 CAG0015 CAG0017 CAG0018 CAG0019 CAG0020 CAG0021 CAG0022 CAG0023 CAG0024 CAG0025 CAG0026 CAG0027 CAG0028 CAG0029 CAG0030 CAG0031 CAG0032 CAG0033 CAG0034 CAG0035 CAG0036 CAG0037 CAG0038 CAG0040 CAG0044 CAG0046 CAG0048 CAG0049 CAG0051 CAG0053 CAG0055 CAG0058 CAG0063 CAG0064 CAG0065 CAG0066 CAG0067 CAG0068 CAG0069 CAG0070 CAG0075 CAG0080 CAG0081 CAG0083 CAG0085 CAG0087 CAG0089 CAG0090 CAG0095 CAG0097 CAG0098 CAG0102 CAG0103 CAG0104 
K00240	CAG0001 CAG0002 CAG0003 CAG0004 CAG0005 CAG0006 CAG0007 CAG0008 CAG0009 CAG0011 CAG0013 CAG0015 CAG0016 CAG0017 CAG0018 CAG0019 CAG0020 CAG0021 CAG0022 CAG0023 CAG0024 CAG0025 CAG0027 CAG0028 CAG0029 CAG0032 CAG0033 CAG0034 CAG0035 CAG0037 CAG0040 CAG0045 CAG0048 CAG0050 CAG0051 CAG0055 CAG0057 CAG0058 CAG0062 CAG0063 CAG0064 CAG0065 CAG0066 CAG0067 CAG0068 CAG0069 CAG0071 CAG0073 CAG0075 CAG0078 CAG0080 CAG0082 CAG0085 CAG0086 CAG0087 CAG0088 CAG0089 CAG0090 CAG0091 CAG0093 CAG0095 CAG0096 
K02558	CAG0001 CAG0002 CAG0003 CAG0005 CAG0007 CAG0011 CAG0013 CAG0015 CAG0017 CAG0019 CAG0021 CAG0023 CAG0025 CAG0028 CAG0030 CAG0036 CAG0038 CAG0048 CAG0050 CAG0062 CAG0064 CAG0101 
K12414	CAG0001 CAG0014 
